Description,Category,Sub_Category,ProductBrand,Description2
DEYANN Men Grey & Blue Printed Straight Kurta,,,DEYANN,"Grey and Blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits"
LA LOFT Women White Solid Shirt Style Top,Clothes,Clothes,LA LOFT,"White solid woven shirt style  top, has a V-neck, long sleeves, and button closure"
Soumya Turquoise Blue Single Self- Design Window Curtain,Home,Decor,Soumya,Set content: Single Window curtainsColour: Turquoise BluePattern: Self Design WindowLight blocking: RegularFitting: EyeletLining: No
DEYANN Men Grey & White Printed Kurta with Churidar,,,DEYANN,"Grey and white printed kurta with churidarGrey straight knee length kurta, has a mandarin collar, three-quarter sleeves, straight hemWhite solid churidar, drawstring closure"
Roadster Women Grey Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Clothes,Clothes,Roadster,"Grey dark wash 5-pocket mid-rise cropped jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
Red Tape Men Tan Brown Leather Formal Oxfords,Clothes,Shoes,Red Tape,"A pair of tan brown square-toed formal oxfords, has central lace-upsLeather upperCushioned footbedTextured PVC outsole, has a stacked heelWarranty: 3 months against manufacturing defectsWarranty provided by brand/manufacturer"
Veni Vidi Vici Women Mustard Yellow Bodycon Dress,Clothes,Clothes,Veni Vidi Vici,"Mustard yellow solid knitted bodycon dress, has shoulder straps, ruching detail with drawstring, and straight hem"
Fame Forever by Lifestyle Men Turquoise Blue & Orange Printed Sweatshirt,Clothes,Clothes,Fame Forever by Lifestyle,"Turquoise Blue and orange printed sweatshirt, has a round neck, two pockets, long sleeves, zip closure, straight hem"
DEYANN Men Navy Blue & White Printed Kurta with Churidar,,,DEYANN,"Navy Blue and white printed kurta with churidarNavy Blue and white straight knee length kurta, has a mandarin collar, long sleeves, straight hemWhite solid churidar, drawstring closure"
Soumya Red & White Single Window Curtain,Home,Decor,Soumya,Set content: Single Window curtainColour: Red and WhitePattern: Floral WindowLight blocking: RegularFitting: EyeletLining: No
Fastrack Men Grey Analogue Watch 9298PV10,Clothes,Bags_Accessories,Fastrack,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: Black & white striped regular, synthetic strap with a tang closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Fastrack case"
Titan Grandmaster Men Black Analogue watch NL1789KM02,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset Time, Calendar, Multi FunctionStrap style: Black bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case"
Calvin Klein Unisex Black Large Trolley Bag,Clothes,Bags_Accessories,Calvin Klein,"Black large trolley bag secured with a TSA lockOne padded handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted 360-degree wheelsOne main zip compartment with a zip lining, has a zip pocket on the flap2 external zip pocket on the frontZipper detail to adjust the depthWarranty: 10 yearsWarranty provided by the brand owner/manufacturer"
CLAY CRAFT White Set of 4 Tea-Shaped Dipping Bowls,Home,Decor,CLAY CRAFT,Content: 4 tea-shaped bowlsPattern: SolidFinish: GlossyMaterial: CeramicFeatures: Dishwasher and microwave safe
Titan Men Blue Genuine Leather Analogue Watch 1802WL01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case"
DEYANN Men Navy Blue Printed Dupion Silk Straight Kurta,,,DEYANN,"Navy Blue printed straight kurta, has a mandarin collar, long sleeves, straight hem, and multiple slits"
Sonata Reloaded Men Grey Analogue watch 7924NL02,Clothes,Bags_Accessories,Sonata,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Black regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case"
Veni Vidi Vici Women Burgundy Solid Bodycon Dress,Clothes,Clothes,Veni Vidi Vici,"Burgundy solid knitted bodycon dress, has a off-shoulder neck, short sleeves, and straight hem"
Titan Men Grey Analogue Watch 1756QM01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round stainless steel dialFeatures: ChronographStrap style: Grey bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Roadster Men Black Slim Fit Low-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Roadster,"Black dark wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
DEYANN Men Off-White Solid Dupion Silk Straight Kurta,,,DEYANN,"Off-White solid straight kurta, has a mandarin collar, long sleeves, straight hem, and multiple slits"
Park Avenue Men Blue Self Design Super Slim-Fit Single-Breasted Blazer,Clothes,Clothes,Park Avenue,"Blue self-design super slim-fit formal blazer, has a notched lapel, single-breasted with double-button closures, long sleeves, two flap pockets, one chest welt pocket, an attached lining, and a double-vented back hem."
Soie Off-White Solid Non-Wired Lightly Padded Everyday Bra CB-126IVORY,Clothes,Clothes,Soie,Off-White solid full-coverage Everyday bra Lightly Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
IMYOUNG Men Blue & Brown Slim Fit Checked Casual Shirt,Clothes,Clothes,IMYOUNG,"Blue and Brown checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Titan Women Maroon Analogue Watch 95062WD01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Reset Time, Date ApertureStrap style: Gold-Toned bracelet style, stainless steel strap with a butterfly closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
CHUTPUT Kids Blue & Yellow Solid Sweater with Applique Detail,Clothes,Clothes,CHUTPUT,"Blue and yellow solid sweater with applique detail, has a turtle neck, long sleeves, and straight hemComes with a matching beanie cap"
CLAY CRAFT White Set of 4 Bowls,Home,Decor,CLAY CRAFT,Content: 4 bowlsPattern: SolidFinish: GlossyMaterial: CeramicFeatures: Dishwasher and microwave safe
Sonata Splash Women Black Analogue watch NL87019SP03,Clothes,Bags_Accessories,Sonata,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Pink regular, silicon strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case"
Sonata Men Charcoal Grey Printed Leather Straps Analogue Watch 77085PL01,Clothes,Bags_Accessories,Sonata,"Pack Contains: single watchDisplay: analogueMovement: quartzPower Source: batteryDial style: Charcoal grey printed round plastic dialFeatures: reset timeStrap Style: Brown, regular, leather strap with a tang closureWater resistance: 30 mComes in a signature Sonata caseWarranty: 1 yearWarranty provided by brand/manufacturer"
ColorPlus Men Blue Tailored Fit Printed Semiformal Shirt,Clothes,Clothes,ColorPlus,"Blue printed semiformal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
Fame Forever by Lifestyle Men White Printed Round Neck T-shirt,Clothes,Clothes,Fame Forever by Lifestyle,"White printed T-shirt, has a round neck, and short sleeves"
Tokyo Talkies Women Pink Self Design Peplum Top,Clothes,Clothes,Tokyo Talkies,"Pink self-design woven peplum  top, has a round neck, three-quarter sleeves, and button closure"
Dynamocks Unisex Pack Of 2 Patterned Shoe Liners,Clothes,Shoes,Dynamocks,"Pack of two multicoloured patterned shoe liners in black, each has an elasticated mouth, a round-toe seam and contrast print"
Sergio Tacchini Men White Sneakers,Clothes,Shoes,Sergio Tacchini,"A pair of round-toe white sneakers, has regular styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
Titan Octane Men White Analogue watch 90103KM01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Chronograph, Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Gliders Men Tan Brown Solid Sneakers,Clothes,Shoes,Gliders,"A pair of round-toe tan sneakers, has regular styling, lace-up detailSynthetic Leather upperCushioned footbedTextured and patterned outsole"
Veni Vidi Vici Women Olive Green Solid Bardot Crop Top,Clothes,Clothes,Veni Vidi Vici,"Olive green solid knitted bardot crop top, has an off-shoulder neck, and long sleeves"
Cherry Crumble Boys Black & Red Colourblocked Jacket,Clothes,Clothes,Cherry Crumble,"Black and Red colourblocked jacket, has a hooded, 1 pockets, zip closure, long sleeves, straight hem, and cotton"
Roadster Women Charcoal Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Roadster,"Charcoal grey dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
CODE by Lifestyle Men White & Pink Regular Fit Printed Formal Shirt,Clothes,Clothes,CODE by Lifestyle,"White and pink printed formal shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket"
Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Roadster,"Black dark wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
CODE by Lifestyle Men Beige Striped Polo Collar T-shirt,Clothes,Clothes,CODE by Lifestyle,"Beige striped T-shirt, has a polo collar, and short sleeves"
Be Indi Women Red A-Line Dress,Clothes,Clothes,Be Indi,"Red printed woven A-line %S, has a round neck, three-quarter sleeves, and flared hem"
DEYANN Men Orange & White Printed Kurta with Churidar,,,DEYANN,"Orange and white printed kurta with churidarOrange and white straight knee length kurta, has a mandarin collar, three-quarter sleeves, straight hemWhite solid churidar, drawstring closure"
DEYANN Men Orange Printed Straight Kurta,,,DEYANN,"Orange printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits"
Alcis Men Black & Red Slim Fit Solid Running Track Pants,Clothes,Clothes,Alcis,"A pair of black and red solid knitted slim-fit running track pants, has an elasticated waistband with inner drawstring fastening, two pocketsEngineered with antistatix technology for comfort against static-clingEngineered withDrytech+ for fast sweat evaporation"
ColorPlus Men Beige Tailored Fit Checked Casual Shirt,Clothes,Clothes,ColorPlus,"Beige checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Harvard Men Grey Mesh Running Shoes,Clothes,Shoes,Harvard,"A pair of grey running sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 30 daysWarranty provided by brand/manufacturer"
Fastrack Trendies Women White Analogue watch NL68006PP02,Clothes,Bags_Accessories,Fastrack,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: White regular, silicon strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case"
Titan Raga Viva Women Grey Analogue watch NL2608WM02,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Multi FunctionStrap style: Rose Gold-Toned bracelet style, metal strap with a foldover closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
DEYANN Men Purple Printed Kurta with Churidar,,,DEYANN,"Purple and white printed kurta with churidarPurple straight knee length kurta, has a mandarin collar, three-quarter sleeves, straight hemWhite solid churidar, drawstring closureWhat is Made to Measure?Customised kurta set according to your body measurements. So please refer to the Size Chart to pick your perfect size."
Roadster Women Blue Skinny Fit Mid-Rise Mildly Distressed Jeans,Clothes,Clothes,Roadster,"Blue medium wash 4-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops"
Solemio Men Beige Regular Fit Printed Casual Shirt,Clothes,Clothes,Solemio,"Beige printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Kryptic Men White Striped Polo Collar T-shirt,Clothes,Clothes,Kryptic,"White and Navy Blue striped T-shirt, has a polo collar, and short sleeves"
Fastrack Men Grey Analogue Watch 3124SP02,Clothes,Bags_Accessories,Fastrack,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Black regular, silicon strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case"
berrytree Boys Red Solid Organic Cotton Polo Collar  Sustainable T-shirt,Clothes,Clothes,berrytree,"Red solid Sustainable T-shirt, has a polo collar, and long sleeves"
Veni Vidi Vici Women Maroon Solid Bardot Crop Top,Clothes,Clothes,Veni Vidi Vici,"Maroon solid knitted bardot crop top, has an off-shoulder neck, and long sleeves"
berrytree Unisex Grey Solid Hooded Sustainable Sweatshirt,Clothes,Clothes,berrytree,"Grey solid sustainable sweatshirt, has a hood. long sleeves"
Veni Vidi Vici Women Red Solid Cold-Shoulder Fit & Flare Dress,Clothes,Clothes,Veni Vidi Vici,"Red solid knitted fit and flare dress, has a round neck, short cold-shoulder sleeves, and flared hem"
LA LOFT Women Khaki Solid Shirt Style Crop Top,Clothes,Clothes,LA LOFT,"Khaki solid woven shirt style crop top, has a shirt collar, short sleeves, button closure, ruffle detail and 2 flap pockets"
DEYANN Men White & Blue Printed Straight Kurta,,,DEYANN,"White and Blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits"
Soumya Purple Single Solid Door Curtain,Home,Decor,Soumya,Set content: Single Door curtainColour: PurplePattern: Solid DoorLight blocking: RegularFitting: EyeletLining: No
Divine Casa Black & Grey Geometric Reversible AC Room 110 GSM Single Bed Dohar,,,Divine Casa,"Set content: Reversible single bed doharUsage: AC RoomGSM: 110Colour: Black, grey and whitePattern: Geometric Dohar"
Veni Vidi Vici Solid Olive Green Ruched Bodycon Dress,Clothes,Clothes,Veni Vidi Vici,"Olive Green solid knitted bodycon dress with tie-up detail, has shoulder straps, sleeveless, and straight hem"
Park Avenue Men Grey Self Design Super Slim-Fit Single-Breasted Blazer,Clothes,Clothes,Park Avenue,"Grey self-design super slim-fit formal blazer, has a notched lapel, single-breasted with double-button closures, long sleeves, two flap pockets, one chest welt pocket, an attached lining, and a double-vented back hem."
Sonata Sleek Men Grey Analogue watch 7131WL01,Clothes,Bags_Accessories,Sonata,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case"
CODE by Lifestyle Men Yellow Slim Fit Solid Formal Shirt,Clothes,Clothes,CODE by Lifestyle,"Yellow solid formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Roadster Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,Clothes,Clothes,Roadster,"Blue medium wash 5-pocket mid-rise jeans, mildly distressed, heavy fade, has a button and zip closure, and waistband with belt loops"
Divine Casa Black & White Geometric Mild Winter 110 GSM Single Bed Comforter,,,Divine Casa,Set content: Reversible single bed comforterUsage: Mild WinterGSM: 110Colour: Black and WhitePattern: Geometric Comforter
CODE by Lifestyle Men Blue Striped Polo Collar T-shirt,Clothes,Clothes,CODE by Lifestyle,"Blue and Grey striped T-shirt, has a polo collar, and short sleeves"
MsFQ Women Peach-Coloured Printed A-Line Top,Clothes,Clothes,MsFQ,"Peach-Coloured printed woven A-line  top, has a round neck, three-quarter sleeves, and button closure"
Divine Casa Blue & Green Solid AC Room 110 GSM Single Bed Quilt,,,Divine Casa,Set content: Single bed quilt Usage: AC Room GSM: 110 Colour: Blue and Green Pattern: Solid Quilt
Fastrack Women Black Analogue Watch 6176KM19,Clothes,Bags_Accessories,Fastrack,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Black bracelet style, metal strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Fastrack case"
WITH Men Navy Blue Slim Fit Checked Casual Shirt,Clothes,Clothes,WITH,"Navy Blue checked casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket"
ColorPlus Men Blue & White Tailored Fit Checked Casual Shirt,Clothes,Clothes,ColorPlus,"Blue and White checked casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket"
Alcis Men Black Solid Slim Fit Training Track Pants,Clothes,Clothes,Alcis,"BlackÂ solid woven training track pant, has elasticated waistband, three pockets"
CODE by Lifestyle Men Mustard Yellow & Black Regular Fit Checked Casual Shirt,Clothes,Clothes,CODE by Lifestyle,"Mustard and Black checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Metro Women Black Solid Open Toe Flats,Clothes,Shoes,Metro,"A pair of black open-toed flats, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole"
Divine Casa Green & Beige Floral Reversible AC Room 110 GSM Single Bed Dohar,,,Divine Casa,"Set content: Reversible single bed doharUsage: AC RoomGSM: 110Colour: Green, beige and navy bluePattern: Floral Dohar"
Divine Casa Green & Black Geometric AC Room 110 GSM Single Bed Dohar,,,Divine Casa,"Set content: Single bed doharUsage: AC RoomGSM: 110Colour: Green, black and whitePattern: Geometric"
Sonata Utsav Men White Analogue watch NL7125BM01,Clothes,Bags_Accessories,Sonata,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: White bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case"
Titan Women Brown Analogue Watch 2590SM01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Chronograph, Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover and butterfly closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Divine Casa Green & Navy Blue Solid Heavy Winter 150 GSM Double Bed Comforter,,,Divine Casa,Set content: Single bed comforter Usage: Heavy Winter GSM: 150 Colour: Green and Navy Blue Pattern: Solid Comforter
Roadster Women Black Skinny Fit Mid-Rise Slash Knee Stretchable Jeans,Clothes,Clothes,Roadster,"Black dark wash 5-pocket mid-rise jeans, slash knee, light fade, has a button and zip closure, and waistband with belt loops"
Roadster Women Blue Skinny Fit Mid-Rise Slash Knee Stretchable Jeans,Clothes,Clothes,Roadster,"Blue light wash 5-pocket mid-rise jeans with printed detail, slash knee, light fade, has a button and zip closure, and waistband with belt loops"
Tokyo Talkies Women Mustard Yellow & Red Sheath Dress,Clothes,Clothes,Tokyo Talkies,"Mustard yellow and red striped woven sheath dress, has a V-neck, three-quarter sleeves, concealed zip closure, and straight hem"
Titan Karishma Gents Men Black Analogue watch NL1777YL01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid rectangular metal dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
CHUTPUT Kids White & Blue Self Striped Woollen Bodysuit,Clothes,Clothes,CHUTPUT,"White and blue self striped woollen bodysuit, has a square neck, sleeveless,Â snap button closure on crotch area"
TIMESMITH Women Gold-Toned Analogue Watch TSC-046,Clothes,Bags_Accessories,TIMESMITH,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Multi FunctionStrap style: Gold-Toned bracelet style, stainless steel strap with a button closureWater resistance: Water ResistantWarranty: 1 yearWarranty provided by brand/manufacturer"
Titan Octane Men Blue Analogue watch 90108KL01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset Time, Multi FunctionStrap style: Black regular, leather strap with a tang closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Sonata Essentials Men White Analogue watch 77083YL01,Clothes,Bags_Accessories,Sonata,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Black regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case"
Fastrack Men Grey Digital Watch 38045PP02,Clothes,Bags_Accessories,Fastrack,"Display: DigitalMovement: AutomaticPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset Time, Stopwatch, Multi FunctionStrap style: Grey silicon strap with a tang closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a signature Fastrack case"
SPYKAR Women Navy Blue Adora Skinny Fit Mid-Rise Clean Look Cropped Stretchable Jeans,Clothes,Clothes,SPYKAR,"Navy blue dark wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
Fastrack Men Black Leather Analogue Watch 3124SL05,Clothes,Bags_Accessories,Fastrack,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset TimeStrap style: Black regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case"
Divine Casa Green & Teal Blue Geometric Mild Winter 110 GSM Single Bed Comforter,,,Divine Casa,"Set content: Single bed comforterUsage: Mild WinterGSM: 110Colour: Green, teal blue and orange Pattern: Geometric Comforter"
IMYOUNG Men Blue & White Slim Fit Checked Casual Shirt,Clothes,Clothes,IMYOUNG,"Blue and White checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Veni Vidi Vici Women Pink Solid Layered Cropped Bardot Top,Clothes,Clothes,Veni Vidi Vici,"Pink solid knitted layered cropped bardot top, has shoulder straps, short sleeves"
Divine Casa Navy Blue & Grey Geometric Reversible AC Room 110 GSM Single Bed Dohar,,,Divine Casa,"Set content: Reversible single bed doharUsage: AC RoomGSM: 110Colour: Navy Blue, grey and whitePattern: Geometric Dohar"
Roadster Women Blue Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Clothes,Clothes,Roadster,"Blue medium wash 5-pocket mid-rise jeans, low distress, light fade, has a button and zip closure, and waistband with belt loops"
Sonata Splash Women Blue Analogue watch NL87019SP02,Clothes,Bags_Accessories,Sonata,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset TimeStrap style: Blue regular, silicon strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case"
Park Avenue Men Grey Self Design Super Slim-Fit Single-Breasted Blazer,Clothes,Clothes,Park Avenue,"Grey self-design super slim-fit formal blazer, has a notched lapel, single-breasted with double-button closures, long sleeves, two flap pockets, one chest welt pocket, an attached lining, and a double-vented back hem."
Cottinfab Women Blue & White Printed Playsuit,Clothes,Clothes,Cottinfab,"Blue and white printed layered playsuit with waist tie-up, has a round neck, short cold-shoulder sleeves, two pockets, concealed zip closure"
Titan Women Black Analogue Watch 2598SL01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Black regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Divine Casa Navy Blue & White Striped Mild Winter 110 GSM Single Bed Comforter,,,Divine Casa,Set content: Single bed comforter Usage: Mild Winter GSM: 110 Colour: Navy Blue and White Pattern: Striped Comforter
Zoop Marvel Unisex Kids Blue Analogue watch C4048PP25,Clothes,Bags_Accessories,Zoop,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round plastic dialFeatures: Reset TimeStrap style: Blue regular, rubber strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Zoop case"
Tokyo Talkies Women Yellow Floral Printed Peplum Top,Clothes,Clothes,Tokyo Talkies,"Yellow and White printed woven peplum  top, has a V-neck, long sleeves, and button closure"
Forever New Women Black Tapered Fit Solid Formal Trousers,Clothes,Clothes,Forever New,"Black solid high-rise trousers, hook and bar closure, and 4 pockets"
Fame Forever by Lifestyle Men Green Solid Round Neck T-shirt,Clothes,Clothes,Fame Forever by Lifestyle,"Green and Beige solid T-shirt, has a round neck, and long sleeves"
CHUTPUT Kids White & Olive Green Striped Sweater with Applique Detail,Clothes,Clothes,CHUTPUT,"White, green and orange striped sweater with applique detail, has a round neck, long sleeves, button closures, and straight hemComes with a matching beanie cap"
Kvsfab Women Multicoloured Maxi Dress,Clothes,Clothes,Kvsfab,"Multicoloured self-design knitted layered maxi dress, has a round neck, sleeveless, concealed zip closure, and asymmetric hem"
Veni Vidi Vici Women Maroon Solid Crop Bardot Top,Clothes,Clothes,Veni Vidi Vici,"Maroon solid knitted crop bardot top, has shoulder straps, and short sleeves"
ColorPlus Men Red & Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,ColorPlus,"Red and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Rajnandini Brown Striped Unstitched Dress Material,Clothes,Clothes,Rajnandini,Brown striped unstitched dress materialBrown striped kurta fabricBrown solid bottom fabricBrown printed dupattaDisclaimer: Images are for referral purposes only. The actual product is unstitched.
ColorPlus Men Beige Regular Fit Solid Regular Trousers,Clothes,Clothes,ColorPlus,"Beige solid mid-rise trousers, button closure, and 4 pockets"
Veni Vidi Vici Women Maroon Solid Fit & Flare Dress,Clothes,Clothes,Veni Vidi Vici,"Maroon solid knitted fit and flare dress, has a round neck, short cold-shoulder sleeves"
Fastrack Women Grey Analogue Watch 68009PP10,Clothes,Bags_Accessories,Fastrack,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: Grey regular, silicon strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Fastrack case"
Mali Fionna Gold-Toned Stone-Studded Cuff Bracelet,Clothes,Clothes,Mali Fionna,Gold-Toned cuff braceletMaterial and stone type: Alloy with artificial stonesClosure: Slip-On
Titan Workwear Women White Analogue watch NL2596SL01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Blue regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Respiro Men Brown & Black Comfort Sandals,Clothes,Shoes,Respiro,A pair of brown and black comfort sandalsSynthetic Leather upper with slip-on closureCushioned footbedPatterned synthetic outsoleWarranty: 1 monthWarranty provided by brand/manufacturer
Sonata Sleek Men Black Analogue watch 7131NL02,Clothes,Bags_Accessories,Sonata,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case"
Titan Ceramics Men Black Analogue watch NL90089KD02,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Chronograph, Reset TimeStrap style: Black bracelet style, stainless steel strap with a butterfly closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
